date(2009, 3, 12).
downloads(2005, 3, [win32=10222, win64=0, mac=371, linux=1096, source=765]).
downloads(2005, 4, [win32=11666, win64=0, mac=447, linux=1153, source=856]).
downloads(2005, 5, [win32=9492, win64=0, mac=360, linux=1166, source=813]).
downloads(2005, 6, [win32=7192, win64=0, mac=297, linux=677, source=762]).
downloads(2005, 7, [win32=4553, win64=0, mac=210, linux=536, source=527]).
downloads(2005, 8, [win32=5582, win64=0, mac=296, linux=574, source=563]).
downloads(2005, 9, [win32=8685, win64=0, mac=397, linux=759, source=739]).
downloads(2005, 10, [win32=13138, win64=0, mac=548, linux=1152, source=981]).
downloads(2005, 11, [win32=12045, win64=0, mac=539, linux=1042, source=885]).
downloads(2005, 12, [win32=7645, win64=0, mac=415, linux=767, source=788]).
downloads(2006, 1, [win32=8429, win64=0, mac=414, linux=822, source=883]).
downloads(2006, 2, [win32=9182, win64=0, mac=398, linux=925, source=867]).
downloads(2006, 3, [win32=11966, win64=0, mac=425, linux=1123, source=1046]).
downloads(2006, 4, [win32=10816, win64=0, mac=476, linux=883, source=932]).
downloads(2006, 5, [win32=8623, win64=0, mac=319, linux=704, source=675]).
downloads(2006, 6, [win32=6956, win64=0, mac=324, linux=629, source=753]).
downloads(2006, 7, [win32=4227, win64=0, mac=249, linux=435, source=616]).
downloads(2006, 8, [win32=4815, win64=0, mac=294, linux=512, source=593]).
downloads(2006, 9, [win32=8911, win64=0, mac=506, linux=729, source=782]).
downloads(2006, 10, [win32=12038, win64=0, mac=642, linux=1031, source=1105]).
downloads(2006, 11, [win32=11875, win64=0, mac=684, linux=996, source=1493]).
downloads(2006, 12, [win32=7406, win64=0, mac=432, linux=664, source=653]).
downloads(2007, 1, [win32=7888, win64=99, mac=548, linux=724, source=735]).
downloads(2007, 2, [win32=8145, win64=571, mac=574, linux=688, source=774]).
downloads(2007, 3, [win32=10432, win64=774, mac=581, linux=970, source=946]).
downloads(2007, 4, [win32=9706, win64=699, mac=549, linux=941, source=941]).
downloads(2007, 5, [win32=8834, win64=572, mac=460, linux=795, source=788]).
downloads(2007, 6, [win32=7186, win64=537, mac=352, linux=662, source=741]).
downloads(2007, 7, [win32=4212, win64=328, mac=254, linux=461, source=825]).
downloads(2007, 8, [win32=4701, win64=439, mac=288, linux=473, source=686]).
downloads(2007, 9, [win32=7766, win64=742, mac=543, linux=719, source=722]).
downloads(2007, 10, [win32=12962, win64=1264, mac=830, linux=1164, source=980]).
downloads(2007, 11, [win32=10844, win64=1146, mac=769, linux=961, source=1032]).
downloads(2007, 12, [win32=6690, win64=649, mac=281, linux=625, source=792]).
downloads(2008, 1, [win32=7988, win64=771, mac=322, linux=678, source=800]).
downloads(2008, 2, [win32=8264, win64=922, mac=288, linux=728, source=882]).
downloads(2008, 3, [win32=9671, win64=1158, mac=270, linux=884, source=882]).
downloads(2008, 4, [win32=10510, win64=1122, mac=341, linux=995, source=980]).
downloads(2008, 5, [win32=9780, win64=1004, mac=235, linux=869, source=867]).
downloads(2008, 6, [win32=7086, win64=653, mac=156, linux=653, source=779]).
downloads(2008, 7, [win32=4475, win64=353, mac=124, linux=475, source=648]).
downloads(2008, 8, [win32=5317, win64=417, mac=126, linux=481, source=595]).
downloads(2008, 9, [win32=10547, win64=720, mac=156, linux=712, source=906]).
downloads(2008, 10, [win32=8749, win64=537, mac=142, linux=675, source=696]).
downloads(2008, 11, [win32=6313, win64=562, mac=95, linux=453, source=424]).
downloads(2008, 12, [win32=8790, win64=671, mac=119, linux=613, source=858]).
downloads(2009, 1, [win32=7143, win64=487, mac=125, linux=571, source=622]).
downloads(2009, 2, [win32=2073, win64=254, mac=56, linux=283, source=277]).
downloads(2009, 3, [win32=109, win64=5, mac=2, linux=9, source=54]).
