%%	downloads(Month, Year, Win32, Win64, Mac, RPM, Source)

date(2009, mar, 12).
downloads(jun, 2008, 7086, 653, 156, 653, 779).
downloads(jul, 2008, 4475, 353, 124, 475, 648).
downloads(aug, 2008, 5317, 417, 126, 481, 595).
downloads(sep, 2008, 10547, 720, 156, 712, 906).
downloads(oct, 2008, 8749, 537, 142, 675, 696).
downloads(nov, 2008, 6313, 562, 95, 453, 424).
downloads(dec, 2008, 8790, 671, 119, 613, 858).
downloads(jan, 2009, 7143, 487, 125, 571, 622).
downloads(feb, 2009, 2073, 254, 56, 283, 277).
downloads(mar, 2009, 109, 5, 2, 9, 54).
